Class,End Date,Participants,Completed
2015-10-15-ttt-online,11/30/2015,48,30
2015-12-07-eu-instructor-training Paris,12/8/2015,7,7
2015-12-07-eu-instructor-training Potsdam,12/8/2015,5,5
2015-12-07-eu-instructor-training Thessaloniki,12/8/2015,4,4
2015-12-07-na-instructor-training Arlington,12/8/2015,10,4
2015-12-07-na-instructor-training Vancouver,12/8/2015,5,4
2015-12-07-na-instructor-training Wisconsin,12/8/2015,7,5
2015-12-07-ttt-Au,12/8/2015,3,2
2015-12-07-ttt-toronto Curitiba,12/8/2015,3,3
2015-12-07-ttt-toronto Toronto,12/8/2015,14,12
2016-01-05-ok-instructor-training,1/6/2016,19,5
2016-01-13-instructor-training-lausanne,1/14/2016,20,16
2016-01-18-brisbane-instructor-training,1/19/2016,20,14
2016-01-21-melbourne-instructor-training,1/22/2016,27,6
2016-01-21-training-florida,1/22/2016,25,8
2016-01-28-auckland-instructor-training,2/29/2016,20,7
2016-02-16-ttt-online,2/17/2016,26,8
2016-02-22-training-ucdavis,2/23/2016,23,9
2016-03-09-ttt-uw,3/10/2016,14,2
2016-04-13-training-online,4/14/2016,33,1
2016-04-17-instructor-training-nwu,4/17/2016,23,0
2016-05-04-instructor-training-ssi,5/5/2016,15,0
2016-05-11-ttt-compute-canada,5/12/2016,27,0
